time,SSR
1732233600,11.23
1732492800,10.96
1732579200,10.41
1732665600,10.3
1732838400,10.64
1733097600,10.72
1733184000,10.57
1733270400,10.54
1733356800,10.81
1733443200,10.57
1733702400,10.85
1733788800,10.45
1733875200,10.37
1733961600,10.83
1734048000,10.61
1734307200,11.02
1734393600,11.18
1734480000,11.16
1734566400,10.53
1734652800,10.25
1734912000,10.01
1734998400,9.98
1735171200,10.47
1735257600,10.09
1735516800,9.87
1735603200,9.77
1735776000,10.03
1735862400,10.28
1736121600,10.35
1736208000,10.75
1736294400,10.19
1736467200,9.73
1736726400,9.93
1736812800,9.93
1736899200,10.15
1736985600,10.56
1737072000,10.48
1737417600,10.56
1737504000,10.95
1737590400,10.54
1737676800,10.52
1737936000,10.33
1738022400,10.27
1738108800,10.19
1738195200,10.41
1738281600,10.51
1738540800,9.77
1738627200,10.11
1738713600,9.67
1738800000,9.53
1738886400,9.47
1739145600,9.41
1739232000,9.5
1739318400,9.33
1739404800,9.54
1739491200,9.42
1739836800,9.32
1739923200,9.31
1740009600,9.41
1740096000,9.58
1740355200,9.31
1740441600,8.86
1740528000,8.61
1740614400,8.19
1740700800,8.24
1740960000,9.16
