time,ExchangeNetflow
1632873600,4731.548553
1632960000,5858.993523
1633046400,8328.181279
1633132800,4673.884778
1633219200,6660.12664
1633305600,11461.26783
1633392000,9663.787435
1633478400,12586.47456
1633564800,11526.93024
1633651200,8476.728056
1633737600,6333.2516
1633824000,8549.907983
1633910400,9246.598522
1633996800,10229.42748
1634083200,9298.925816
1634169600,8863.736024
1634256000,15310.08173
1634342400,7129.736397
1634428800,7084.612311
1634515200,10917.81653
1634601600,11856.90392
1634688000,10476.52798
1634774400,14465.86829
1634860800,8845.465702
1634947200,6280.560489
1635033600,6922.879299
1635120000,7383.807947
1635206400,7625.076133
1635292800,11848.35403
1635379200,12182.10895
1635465600,8067.353875
1635552000,5059.405744
1635638400,6951.620576
1635724800,8276.376695
1635811200,8321.342448
1635897600,7602.997318
1635984000,6556.184709
1636070400,5495.290431
1636156800,4628.458119
1636243200,5123.297731
1636329600,9518.146326
1636416000,7228.105378
1636502400,10048.96927
1636588800,5979.66743
1636675200,8115.621158
1636761600,3430.617294
1636848000,4569.814593
1636934400,6474.901649
1637020800,14170.82514
1637107200,9688.916309
1637193600,11730.96929
1637280000,8136.109249
1637366400,5784.681797
1637452800,5756.286606
1637539200,11144.47494
1637625600,8943.194322
1637712000,8577.992338
1637798400,7633.529997
1637884800,13040.59504
1637971200,5729.90345
1638057600,7479.563644
1638144000,7779.749988
1638230400,9152.806518
1638316800,8295.403258
1638403200,6772.2329
1638489600,9324.520391
1638576000,19404.7324
1638662400,11218.19836
1638748800,14251.00922
1638835200,9962.836977
1638921600,9880.235389
1639008000,10970.30196
1639094400,12149.64721
1639180800,7507.121516
1639267200,6289.552448
1639353600,11522.59119
1639440000,8944.127809
1639526400,11113.823
1639612800,8731.810597
1639699200,10083.81806
1639785600,6098.948642
1639872000,8644.422089
1639958400,10503.8304
1640044800,8461.867907
1640131200,8761.81727
1640217600,10737.23276
1640304000,8617.7334
1640390400,6121.28073
1640476800,7121.669953
1640563200,8507.238496
1640649600,15230.82537
1640736000,10976.11557
1640822400,9041.186318
1640908800,10890.70655
1640995200,6452.491926
1641081600,6037.964104
1641168000,8326.66265
1641254400,9582.113795
1641340800,15885.89924
1641427200,11546.59304
1641513600,15372.63581
1641600000,10506.59857
1641686400,8289.251337
1641772800,11943.06391
1641859200,10833.97917
1641945600,9976.044566
1642032000,9803.175633
1642118400,8497.752019
1642204800,5269.272296
1642291200,5182.861645
1642377600,6812.392821
1642464000,9646.364542
1642550400,11038.16747
1642636800,11613.64217
1642723200,20940.51486
1642809600,18348.26764
1642896000,10220.24396
1642982400,17910.47546
1643068800,10359.63052
1643155200,14295.52514
1643241600,11600.5332
1643328000,11803.67246
1643414400,7151.982279
1643500800,5411.501628
1643587200,8856.551803
1643673600,8866.025687
1643760000,7983.608385
1643846400,7376.601938
1643932800,11180.30349
1644019200,6050.702034
1644105600,5524.538254
1644192000,12161.14314
1644278400,12815.20181
1696723200,677.8912909
1696809600,2304.996099
1696896000,1585.445179
1696982400,3092.077996
1697068800,1601.346123
1697155200,2111.794818
1697241600,730.7568178
1697328000,1026.085452
1697414400,7787.355596
1697500800,2328.476528
1697587200,2035.026468
1697673600,2372.544557
1697760000,3812.086079
1697846400,2252.197123
1697932800,1328.856383
1698019200,7154.71601
1698105600,7855.013862
1698192000,3923.759245
1698278400,3871.438902
1698364800,2681.161789
1698451200,1222.221733
1698537600,1521.604388
1698624000,2531.60814
1698710400,1855.566494
1698796800,3806.804402
1698883200,3988.475899
1698969600,2119.521263
1699056000,1617.412893
1699142400,1827.875379
1699228800,1572.808326
1699315200,2573.31258
1699401600,2554.528167
1699488000,8078.048005
1699574400,4459.426938
1699660800,1725.244614
1699747200,1172.59629
1699833600,3275.049329
1699920000,4657.820097
1700006400,4451.097162
1700092800,6415.890771
1700179200,4591.392662
1700265600,1154.664347
1700352000,1751.850905
1700438400,4171.723721
1700524800,6261.509653
1700611200,6119.785248
1700697600,2749.313514
1700784000,4254.021728
1700870400,1204.59671
1700956800,1333.535822
1701043200,2144.821362
1701129600,3571.378127
1701216000,2377.635453
1701302400,1732.076667
1701388800,3704.470305
1701475200,1964.855627
1701561600,2138.769822
1701648000,7454.600308
1701734400,5566.774594
1701820800,3558.308187
1701907200,2649.072801
1701993600,3595.64137
1702080000,1720.159131
1702166400,1376.787528
1702252800,6918.905064
1702339200,3827.464335
1702425600,3664.050694
1702512000,3403.660285
1702598400,2421.861254
1702684800,1484.465312
1702771200,2873.786476
1702857600,3401.344788
1702944000,3052.465352
1703030400,4004.570372
1703116800,2615.351612
1703203200,2630.837667
1703289600,1140.859804
1703376000,2343.633431
1703462400,1746.951784
1703548800,3180.636172
1703635200,2143.684396
1703721600,2766.353205
1703808000,2612.446401
1703894400,1306.552626
1703980800,1509.623657
1704067200,2457.304196
1704153600,6462.553718
1704240000,7003.557998
1704326400,3461.206492
1704412800,3371.047013
1704499200,990.4193612
1704585600,1547.796632
1704672000,6838.674227
1704758400,8483.345197
1704844800,8288.080645
1704931200,7397.105831
1705017600,9423.71541
1705104000,1718.420821
1705190400,2802.781875
1705276800,2405.085321
1705363200,2360.501062
1705449600,2079.155241
1705536000,3426.982335
1705622400,3578.28442
1705708800,827.7478072
1705795200,892.7563884
1705881600,4093.73354
1705968000,3365.92043
1706054400,2453.939107
1706140800,1465.246536
1706227200,3399.173029
1706313600,1297.453657
